DATE	MATCHUP	RESULT	VENUE	ATTENDANCE	GOAL SCORERS
November 21, 2016	U-20 WNT vs Ghana	1-1 D	National Football Stadium; Port Moresby, Papua New Guinea	3,076	Pugh
November 17, 2016	U-20 WNT vs New Zealand	3-1 W	Sir Hubert Murray Stadium; Port Moresby, Papua New Guinea	2,399	Sanchez, Pugh, Watt
November 15, 2016	MNT vs Costa Rica	0-4 L	Estadio Nacional de Costa Rica; San Jose, Costa Rica	35,400 (so)	--
November 14, 2016	U-20 WNT vs France	0-0 D	Sir Hubert Murray Stadium; Port Moresby, Papua New Guinea	2,033	--
November 13, 2016	WNT vs Romania	5-0 W	StubHub Center; Carson, Calif. 	20,336	Meluta(og), Press, Dunn, Brian, Mewis
November 13, 2016	U-18 MNT vs South Florida Surf	2-2 D	Lockhart Stadium; Fort Lauderdale, Fla.	50	Carranza(2)
November 13, 2016	U-19 MNT vs Miami FC	5-0 W	Lockhart Stadium; Fort Lauderdale, Fla.	200	Vazquez, Adams, Taitague, Young, Hunsinger
November 11, 2016	MNT vs Mexico, Presented by AT&T	1-2 L	MAPFRE Stadium; Columbus, Ohio	24,650 (so)	Wood
November 10, 2016	WNT vs Romania	8-1 W	Avaya Stadium; San Jose, Calif.	16,425	Press(3), Heath(2), Brian, Morgan(2)
November 8, 2016	U-15 BNT vs Weston FC	7-0 W	Bradenton, Fla.		
November 8, 2016	U-15 BNT vs Chargers Soccer Club	2-1 W	Bradenton, Fla.		Cano, Andersen
November 6, 2016	U-17 MNT vs Jamaica	4-0 W	Kingston, Jamaica		Acosta, Carleton(2), Reynolds Jr.
November 5, 2016	Beach vs United Arab Emirates	3-4 L	Dubai, United Arab Emirates	978	Canale(2), Gil
November 4, 2016	Beach vs Poland	3-6 L	Dubai, United Arab Emirates	956	Futagaki, Valentine, Feld
November 3, 2016	Beach vs Egypt	3-5 L	Dubai, United Arab Emirates	385	Perera(3)
November 2, 2016	Beach vs Russia	3-9 L	Dubai, United Arab Emirates	1,754	Canale(2), Perera
November 2, 2016	U-17 MNT vs Jamaica	3-0 W	Kingston, Jamaica		Akinola, Sargent, Temple
November 1, 2016	Beach vs Iran	2-6 L	Dubai, United Arab Emirates	1,127	Perera(2)
October 29, 2016	U-16 BNT vs France	0-2 L	Val de Marne, France		--
October 27, 2016	U-16 BNT vs Russia	0-3 L	Val de Marne, France		--
October 25, 2016	U-16 BNT vs England	2-1 W	Val de Marne, France		Llanez(2)
October 24, 2016	U-17 MNT vs Costa Rica	4-0 W	Bradenton, Fla.		Ferri, Sargent, Acosta, Akinola
October 23, 2016	WNT vs Switzerland	5-1 W	U.S. Bank Stadium; Minneapolis, Minn.	23,400	Lloyd(2), Press, Dunn, Ohai
October 23, 2016	U-18 WNT vs Northern Ireland	3-0 W	Belfast, Northern Ireland		Briede, own goal, Grey
October 22, 2016	U-17 MNT vs Costa Rica	3-1 W	Bradenton, Fla.		Reynolds, Ferri, Sargent
October 20, 2016	U-18 WNT vs France	3-1 W	Lurgan, Northern Ireland		Turnbow(2), Briede
October 19, 2016	WNT vs Switzerland	4-0 W	Rio Tinto Stadium; Sandy Utah	14,336	Williams, Heath, Press, Mewis
October 18, 2016	U-18 WNT vs England	1-2 L	Ballymena, Northern Ireland		Grey
October 11, 2016	MNT vs New Zealand	1-1 D	RFK Stadium; Washington, D.C.	9,012	Green
October 10, 2016	U-20 WNT vs Venezuela	5-1 W	Omni Resort at Champions Gate; Orlando, Fla.	0	Petersen, Ogle, Pugh, Hedge, Jacobs
October 10, 2016	U-20 MNT vs England	0-2 L	Rochdale FC; Manchester, England	1,500	
October 8, 2016	U-17 MNT vs Saint Louis FC U-18 Academy	1-1 D 4-5 PKs	St. Louis, Mo.	3,421	Temple
October 8, 2016	U-20 WNT vs Venezuela	6-2 W	Premier Sports Complex; Lakewood Ranch, Fla.	0	Pugh(3), Petersen, Scarpa, Riehl
October 8, 2016	U-17 WNT vs Japan	2-3 L	Amman International Stadium; Amman, Jordan		Sanchez(2)
October 7, 2016	MNT vs Cuba	2-0 W	Estadio Pedro Marrero; Havana, Cuba		Wondolowski, Green
October 7, 2016	U-20 MNT vs Netherlands	3-5 L	Altrincham FC; Manchester, England		Ebobisse(3)
October 5, 2016	U-20 MNT vs Germany	0-1 L	Leigh Sports Village; Manchester, England		--
October 4, 2016	U-17 WNT vs Ghana	1-2 L	King Abdullah II International Stadium; Amman, Jordan	2,000	Tagliaferri
October 1, 2016	U-17 WNT vs Paraguay	6-1 W	Prince Mohammed International Stadium; Al Zarqa, Jordan	2,078	Tagliaferri, Kuhlmann(3), Pickett, Sanchez
October 1, 2016	U-17 MNT vs Panama	0-2 L	Panama City, Panama		--
September 27, 2016	U-17 MNT vs Panama	3-1 W	Maracana Stadium; Panama City, Panama		Akinola, Acosta, Carleton
September 18, 2016	WNT vs the Netherlands	3-1 W	Georgia Dome; Atlanta, Ga.	15,652	Lloyd, van den Berg(og), Long
September 18, 2016	U-20 WNT vs Brazil	0-2 L	U.S. Soccer National Training Center; Carson, Calif.		--
September 17, 2016	U-17 MNT vs Guatemala	9-0 W	Lakewood Ranch, Florida		Akinola(2), Sargent(2), Jones(3), Durkin, Gloster
September 16, 2016	U-20 WNT vs England	0-1 L	U.S. Soccer National Training Center; Carson, Calif.		--
September 15, 2016	WNT vs Thailand	9-0 W	MAPFRE Stadium; Columbus, Ohio	10,490	Lloyd(3), Press, O'Reilly, Heath, Dunn, Morgan(2)
September 15, 2016	U-17 MNT vs Guatemala	8-0 W	Bradenton, Florida		Sands, Akinola(2), Sargent(2), Jones, Angking(2)
September 14, 2016	U-20 WNT vs Korea Republic	0-0 D	U.S. Soccer National Training Center; Carson, Calif.		--
September 14, 2016	PNT vs Ireland	2-1 W	Deodoro Stadium; Rio de Janeiro, Brazil	3,000	Jahn, Bremer
September 12, 2016	PNT vs Argentina	2-3 L	Deodoro Stadium; Rio de Janeiro, Brazil	4,500	
September 10, 2016	PNT vs Iran	0-2 L	Deodoro Stadium; Rio de Janeiro, Brazil	10,000	--
September 8, 2016	PNT vs Netherlands	2-2 D	Deodoro Stadium; Rio de Janeiro, Brazil		Ballou(2)
September 6, 2016	MNT vs Trinidad & Tobago	4-0 W	EverBank Field; Jacksonville, Fla.	19,410	Kljestan, Altidore(2), Arriola
September 5, 2016	U-19 MNT vs Hungary	2-1 W	FK Backa Topola; Topola, Serbia	100	Zubak, Mihailovic
September 2, 2016	U-17 WNT vs Venezuela	5-1 W	Premier Sports Campus; Lakewood Ranch, Fla.		Kuhlmann, Tagliaferri, Canniff, Richardson, S. Smith
September 2, 2016	MNT vs St. Vincent and the Grenadines	6-0 W	Arnos Vale Stadium; St. Vincent and the Grenadines		Wood, Besler, Altidore, Pulisic(2), Kljestan
September 2, 2016	U-19 MNT vs France	0-2 L	Senta Stadium; Senta, Serbia		--
September 1, 2016	U-19 MNT vs Serbia	1-2 L	City Stadium; Subotica, Serbia		Vazquez
August 30, 2016	U-17 WNT vs Venezuela	4-0 W	Water Soccer Complex; Tampa, Fla.		VEN(og), Spannstra, Kuhlmann, Tagliaferri
August 28, 2016	U-17 MNT vs Mexico	3-6 L	Mexico City, Mexico		Akinola, Vasquez, Acosta
August 26, 2016	U-17 MNT vs Qatar	2-1 W	Mexico City, Mexico		Jones, Akinola
August 25, 2016	U-17 MNT vs Portugal	3-3 D	Mexico City, Mexico		Carleton(2), Akinola
August 21, 2016	U-15 GNT vs Canada	2-0 W	ESPN Wide World of Sports Complex in Disney - Field 17; Orlando, Fla.		Van Zanten, Meza
August 19, 2016	U-18 MNT vs Czech Republic	4-2 W	Pilsen, Czech Republic		Pomykal, Taitague, Perry(2)
August 19, 2016	U-18 MNT vs Russia	5-3 W	Pilsen, Czech Republic		Dorsey, Pomykal, Carranza, own goal, Perry
August 17, 2016	U-15 GNT vs Bermuda	12-0 W	ESPN Wide World of Sports Complex in Disney - Field 17; Orlando, Fla.		Linnehan(3), Fishel(3), Robinson(2), Mercado(2), Van Zanten, Meza
August 17, 2016	U-18 MNT vs Hungary	3-1 W	Pilsen, Czech Republic		Caranza, Taitague(2)
August 16, 2016	U-18 MNT vs Slovakia	3-1 W	Pilsen, Czech Republic		Taitague, Rennicks, Brewer
August 13, 2016	U-15 GNT vs Dominican Republic	6-0 W	ESPN Wide World of Sports Complex in Disney; Orlando, Fla.		Meza(2), Fontes(2), Van Zanten, Linehan
August 12, 2016	U-17 WNT vs Brazil	1-1 D	Van Andel Soccer Stadium at Hope College; Holland, Mich.	2,278	Smith
August 12, 2016	WNT vs Sweden	1-1 D 3-4 PKs	Mané Garrincha Stadium; Brasilia	13,892	Morgan
August 12, 2016	U-15 GNT vs Haiti	1-0 W	ESPN Wide World of Sports Complex in Disney; Orlando, Fla.		Fontes
August 10, 2016	U-15 GNT vs Mexico	1-0 W	ESPN Wide World of Sports Complex in Disney; Orlando, Fla.		Fishel
August 9, 2016	U-17 WNT vs Brazil	2-2 D	DeMartin Soccer Stadium at Michigan State Univ.; East Lansing, Mich.	2,250	Sanchez, Howell
August 9, 2016	WNT vs Colombia	2-2 D	Amazônia Arena; Manaus		Dunn, Pugh
August 9, 2016	U-15 GNT vs Trinidad & Tobago	22-0 W	ESPN Wide World of Sports Complex in Disney; Orlando, Fla.		Meza (2), Torres, Robinson (5), Van Zanten (2), own goal (2), Fishel (2), DellaPeruta, Linnehan (3), Fontes (2), Bethune (2)
August 7, 2016	U-20 MNT vs New York Red Bulls II	4-3 W	New York Red Bull Training Facility; Whippany, NJ		Sabbi, Lewis, Elney, Kelly
August 6, 2016	WNT vs France	1-0 W	Mineirão; Belo Horizonte	11,782	Lloyd
August 3, 2016	WNT vs New Zealand	2-0 W	Mineirão; Belo Horizonte	9,556	Lloyd, Morgan
August 3, 2016	U-20 MNT vs New York Cosmos	2-0 W	New York Cosmos Training Facility; Uniondale, NY		Gutjahr, Suarez
August 1, 2016	U-19 MNT vs Bahrain	1-3 L	Valencia, Spain		Lankford
July 29, 2016	U-19 MNT vs Spain	1-0 W	Valencia, Spain		Vazquez
July 28, 2016	U-19 MNT vs Mauritania	1-0 W	Valencia, Spain		Mihailovic
July 26, 2016	U-19 MNT vs Venezuela	0-2 L	Valencia, Spain		--
July 22, 2016	WNT vs Costa Rica	4-0 W	Children's Mercy Park; Kansas City, Kan.
12,635	Dunn, Pugh, Lloyd, Press
July 14, 2016	U-18 WNT vs England	2-2 D	St. Georges Park, England		Kim (2)
July 12, 2016	U-18 WNT vs England	0-1 L	St. Georges Park, England		--
July 9, 2016	WNT vs South Africa	1-0 W	Soldier Field; Chicago, Ill.	19,272	Dunn
July 3, 2016	U-20 MNT vs Japan	2-1 W	Glenn "Mooch" Myernick Field; Carson, Calif.		Saucedo, Ebobisse
July 1, 2016	U-20 MNT vs Panama	4-0 W	Glenn "Mooch" Myernick Field; Carson, Calif.		Young, Acosta, Ebobisse, Craft
June 29, 2016	U-20 MNT vs Costa Rica	2-0 W	Glenn "Mooch" Myernick Field; Carson, Calif.		Ebobisse, Saucedo
June 25, 2016	MNT vs Colombia	0-1 L	University of Phoenix Stadium; Glendale, Ariz.	29,041	--
June 21, 2016	MNT vs Argentina	0-4 L	NRG Stadium; Houston, Texas	70,858 (so)	--
June 19, 2016	U-19 WNT vs New Zealand U-20 WNT	4-1 W	Auckland, New Zealand	0	Horgan, Stevens, Simon, Hintzen
June 17, 2016	U-19 WNT vs New Zealand U-20 WNT	4-4 D	Auckland, New Zealand	0	Prisock, Stevens, Hintzen, Davidson
June 16, 2016	MNT vs Ecuador	2-1 W	CenturyLink Field; Seattle, Wash.	47,322	Dempsey, Zardes
June 14, 2016	U-19 WNT vs New Zealand Reserves	2-1 W	Auckland, New Zealand	0	Everett (2)
June 11, 2016	MNT vs Paraguay	1-0 W	Lincoln Financial Field; Philadelphia, Pa.	51,041	Dempsey
June 7, 2016	MNT vs Costa Rica	4-0 W	Soldier Field; Chicago	39,642	Dempsey, Jones, Wood, Zusi
June 7, 2016	U-23 WNT vs England	1-1 D 1-3 PKs	Birmingham, England		Sullivan
June 5, 2016	WNT vs Japan	2-0 W	FirstEnergy Stadium; Cleveland, Ohio	23,535	Johnston, Morgan
June 5, 2016	U-15 BNT vs Serbia	0-2 L	Zagreb, Croatia		--
June 4, 2016	U-23 WNT vs Norway	2-1 W	Birmingham, England		Lussi, Jordan
June 3, 2016	MNT vs Colombia	0-2 L	Levi's Stadium; Santa Clara, Calif.	67,439 (so)	--
June 3, 2016	U-15 BNT vs Croatia	1-2 L	Zagreb, Croatia		Fuentes
